name,year,selling_price,km_driven,fuel,seller_type,transmission,engine,tax
Avanza,2022,238600000,53000,Petrol,Dealer,AT,1500,2024
Avanza,2019,140000000,95311,Petrol,Dealer,MT,1300,2024
Avanza,2019,180000000,53454,Petrol,Dealer,MT,1500,2024
Avanza,2014,112000000,116075,Petrol,Dealer,MT,1300,2023
Avanza,2013,99000000,82500,Petrol,Dealer,AT,1300,2024
Avanza,2018,130000000,77500,Petrol,Dealer,AT,1300,2024
Avanza,2017,137000000,87250,Petrol,Dealer,AT,1300,2025
Avanza,2022,215000000,25000,Petrol,Dealer,AT,1500,2024
Avanza,2013,118000000,69000,Petrol,Dealer,AT,1500,2024
Avanza,2019,157500000,55000,Petrol,Dealer,AT,1500,2024
Ertiga,2022,228000000,40000,Hybrid,Dealer,AT,1500,2025
Ertiga,2016,132000000,165851,Petrol,Dealer,MT,1400,2024
Ertiga,2022,222000000,49202,Hybrid,Dealer,AT,1500,2025
Ertiga,2021,177000000,66957,Petrol,Dealer,AT,1400,2025
Ertiga,2022,208000000,25000,Hybrid,Dealer,AT,1500,2025
Ertiga,2018,163000000,110000,Petrol,Dealer,AT,1500,2024
Ertiga,2021,175000000,35000,Petrol,Dealer,AT,1500,2024
Ertiga,2014,113000000,95000,Petrol,Individual,MT,1400,2025
Ertiga,2013,100000000,128000,Petrol,Individual,AT,1400,2024
Ertiga,2022,190000000,30000,Petrol,Dealer,MT,1500,2024
Ertiga,2022,188000000,54000,Petrol,Dealer,AT,1500,2025
Ertiga,2022,225000000,10000,Hybrid,Individual,AT,1500,2024
Ertiga,2018,175000000,58000,Petrol,Dealer,AT,1500,2024
Ertiga,2023,210000000,10000,Hybrid,Dealer,AT,1500,2024
Ertiga,2022,204000000,22000,Hybrid,Dealer,AT,1500,2024
Ertiga,2013,112000000,54000,Petrol,Dealer,AT,1400,2025
Ertiga,2018,142000000,79000,Petrol,Dealer,MT,1500,2023
Ertiga,2022,178000000,17471,Petrol,Dealer,MT,1500,2024
Ertiga,2018,161000000,88980,Petrol,Dealer,MT,1400,2024
Ertiga,2015,125000000,70000,Petrol,Dealer,AT,1400,2025
Xpander,2021,223000000,55216,Petrol,Dealer,AT,1500,2024
Xpander,2017,177000000,24101,Petrol,Dealer,AT,1500,2024
Xpander,2019,192000000,24134,Petrol,Dealer,AT,1500,2024
Xpander,2021,222000000,64000,Petrol,Dealer,AT,1500,2025
Xpander,2020,234000000,30143,Petrol,Dealer,AT,1500,2024
Xpander,2023,321000000,10288,Petrol,Dealer,AT,1500,2025
Xpander,2020,202000000,91150,Petrol,Dealer,AT,1500,2024
Xpander,2019,168000000,84340,Petrol,Dealer,AT,1500,2025
Xpander,2022,245000000,8000,Petrol,Dealer,AT,1500,2024
Xpander,2020,211400000,82805,Petrol,Dealer,AT,1500,2024
Xpander,2019,202000000,80457,Petrol,Dealer,AT,1500,2024
Xpander,2020,234000000,30143,Petrol,Dealer,AT,1500,2024
Xpander,2017,179000000,43571,Petrol,Dealer,AT,1500,2024
Xpander,2019,197000000,79887,Petrol,Dealer,AT,1500,2023
Xpander,2019,232000000,77354,Petrol,Dealer,AT,1500,2024
Xpander,2019,210000000,33230,Petrol,Dealer,AT,1500,2024
Xpander,2019,210000000,33230,Petrol,Dealer,AT,1500,2024
Xpander,2019,200000000,41575,Petrol,Dealer,AT,1500,2024
Xpander,2020,205000000,91921,Petrol,Dealer,AT,1500,2024
Xpander,2019,183000000,78000,Petrol,Individual,MT,1500,2024
Xpander,2021,224000000,22295,Petrol,Dealer,AT,1500,2024
Xpander,2021,232000000,55162,Petrol,Dealer,AT,1500,2024
Xpander,2021,224000000,49959,Petrol,Dealer,AT,1500,2023
Xpander,2023,297000000,15606,Petrol,Dealer,AT,1500,2029
Xpander,2021,224000000,54445,Petrol,Dealer,AT,1500,2024
Xpander,2021,224000000,46100,Petrol,Dealer,AT,1500,2024
Xpander,2017,180000000,35226,Petrol,Dealer,AT,1500,2024
Xpander,2019,209000000,71542,Petrol,Dealer,AT,1500,2024
Xpander,2019,195000000,71542,Petrol,Dealer,AT,1500,2024
Xpander,2018,195000000,19000,Petrol,Dealer,AT,1500,2024
Xpander,2020,217000000,21000,Petrol,Dealer,AT,1500,2024
Xpander,2018,200000000,35000,Petrol,Dealer,AT,1500,2024
Xpander,2020,210000000,22000,Petrol,Dealer,AT,1500,2024
Xpander,2017,185000000,74824,Petrol,Dealer,AT,1500,2023
Xpander,2017,183000000,74053,Petrol,Dealer,AT,1500,2023
Xpander,2022,247000000,35209,Petrol,Dealer,AT,1500,2024
Xpander,2021,235000000,51660,Petrol,Dealer,AT,1500,2024
Xpander,2019,202000000,50697,Petrol,Dealer,AT,1500,2020
Xpander,2020,202000000,91150,Petrol,Dealer,AT,1500,2024
Xpander,2019,202000000,80457,Petrol,Dealer,AT,1500,2024
Xpander,2019,198000000,109771,Petrol,Dealer,AT,1500,2024
Xpander,2019,198000000,109771,Petrol,Dealer,AT,1500,2024
Xpander,2020,202000000,91150,Petrol,Dealer,AT,1500,2024
Xpander,2023,292000000,18633,Petrol,Dealer,AT,1500,2024
Xpander,2019,202000000,69310,Petrol,Dealer,AT,1500,2025
Xpander,2019,197000000,101426,Petrol,Dealer,AT,1500,2024
Xpander,2017,183000000,74954,Petrol,Dealer,AT,1500,2024
Xpander,2018,189000000,56457,Petrol,Dealer,AT,1500,2024
Xpander,2019,203000000,8616,Petrol,Dealer,AT,1500,2022
Xpander,2018,207000000,53516,Petrol,Dealer,AT,1500,2023
Xpander,2019,209000000,67619,Petrol,Dealer,AT,1500,2024
Xpander,2019,204000000,69168,Petrol,Individual,AT,1500,2024
Xpander,2019,192000000,51000,Petrol,Individual,MT,1500,2023
Xpander,2018,223000000,40000,Petrol,Individual,AT,1500,2025
Xpander,2021,237000000,28735,Petrol,Individual,AT,1500,2025
Xpander,2019,195000000,81228,Petrol,Dealer,AT,1500,2024
Xpander,2017,178000000,44342,Petrol,Dealer,AT,1500,2024
Xpander,2019,202000000,57067,Petrol,Dealer,AT,1500,2024
Xpander,2019,198000000,88709,Petrol,Dealer,AT,1500,2025
Xpander,2019,202000000,69367,Petrol,Dealer,AT,1500,2024
Xpander,2021,215000000,41596,Petrol,Dealer,AT,1500,2023
Xpander,2018,189000000,61461,Petrol,Dealer,AT,1500,2024
Xpander,2018,189000000,61461,Petrol,Dealer,AT,1500,2024
Mobilio,2014,116000000,158531,Petrol,Dealer,AT,1500,2024
Mobilio,2016,159000000,69086,Petrol,Dealer,AT,1500,2024
Mobilio,2017,153000000,110679,Petrol,Dealer,AT,1500,2024
Mobilio,2017,156000000,41051,Petrol,Dealer,AT,1500,2023
Mobilio,2015,140000000,141907,Petrol,Dealer,AT,1500,2023
Mobilio,2017,145000000,75088,Petrol,Dealer,AT,1500,2024
Mobilio,2018,150000000,91084,Petrol,Dealer,AT,1500,2024
Mobilio,2016,161000000,133451,Petrol,Dealer,AT,1500,2023
Mobilio,2014,115000000,35493,Petrol,Dealer,MT,1500,2024
Mobilio,2014,123000000,92824,Petrol,Dealer,MT,1500,2025
Mobilio,2017,161000000,123451,Petrol,Dealer,AT,1500,2023
